sender,volume,transfers,avg_value
THLV2cJEVXD5h9Z9pMU9fv2RNKkuCEidxe,169000.0,2,84500.0
TK8ptXHfpZhiW1ppWHL2wFr4S5aUyqXEm5,152672.05,1,152672.05
TTPtBg53WupEBDqjy7uNYFm3VFnSpCdduB,151439.8,27,5608.881481481481
TGh6riaVmyzhUAT3f2peiJyj3YPr5vSfR8,150100.0,2,75050.0
TLrv4tHjzpgkYSPbwGCCsNycZ7GdQ6k1P9,150000.0,1,150000.0
TDoXUNZ6PajKuiUkcYg3EDSV9bnqGqsbcf,149861.416,25,5994.45664
TCTYyc1w6rzqnqRBcAhuAJUyNWZ9Bw9hrW,148391.72999999995,120,1236.5977499999997
TUUVJf9VDEyp8q3cKU3C4bGodj4jKpdABE,145731.0,1,145731.0
TQrPWaZkvjbStGZRQPfMewH3NSHgQPpeTu,144444.0,1,144444.0
TNBHH6efCJvoYxu2P4s6vgKESaALMZyahX,141884.139491,1,141884.139491
TWpNQ3Y4Hhw8WhsnxKwKaEtRrAf2xchfte,140106.0,4,35026.5
TAVA5zsGfTX1nHxc6J6jY6CNCQ3c3Z5ZXZ,140010.0,2,70005.0
TEWr4iU6QBMXnMaFtVv5omUfT6NmWr4Qwj,140000.0,2,70000.0
TEdjMk4Lh1NwRVarouC5HRFQesDYxsUfqS,140000.0,1,140000.0
TWfkhH5qH9mkNCgp2as7idBVVbj5H5BS8Y,139998.0,1,139998.0
TFev6fFpFSAM19JbqMuqa2239iEriWG24A,139729.588356,1,139729.588356
TXmHWzSN3AaJkkahhjf1UBdTSqQ9gh8QGh,138741.0,5,27748.2
TXYQWxaFDZWA2URPstoUNGQfhRjvQ7kVsc,135078.0,6,22513.0
THNsMwC3XVPskxcPLKhvpgCufmnGTbH16b,134430.622403,1,134430.622403
TPs3X9wZMU63oMmNGrSuXQN9E2aF4qtRch,133121.44999999998,40,3328.0362499999997
TAuMZwRsMEAkfyJvKimsoWdNGfE4WyeMFd,130931.01,19,6891.105789473684
TF8J1AVXzM6usP4skn3cXM5n9hYBsT7mBw,130406.0,2,65203.0
TPhhZtk17jJuzivyswwXypvCN55vSYBwsd,130000.0,1,130000.0
TDvWC72KZrMcvssVFNxSb99cteau8R3Nuc,129920.09086000001,146,889.8636360273973
TFZxNYjCMbKfdWYvKJvG6LSTxwPHoRNELw,128266.0,1,128266.0
TAwtg97f3buFL81fpEViw1DaSVW9ntqHTM,125262.0,7,17894.571428571428
TBUqcQgNfjufqXKhgTeFSRBWXfXX5VuLpn,123935.0,1,123935.0
TS2m6qjeye7YpSBEZaKH5AVj8tMaZEveYq,123333.74034900001,7,17619.10576414286
TLe8uwMdMK3pYMpyB5iUN6dmnQBpNU7oUV,122444.76,23,5323.685217391304
TDJFYUuqagMWT3Rqme9mwMHv991G34rKCS,120924.515799,1,120924.515799
TCao4BzHYJCQRgQd5dYEG8HW4kDQx3B6pm,120888.827,2,60444.4135
TB8hTXgrENaqzhsT9bSMcAAN5iGT3KvwRm,120200.0,3,40066.666666666664
TKpyyGPZrXTh6MJMrX3uJL3jWRPGRK74W5,120000.0,1,120000.0
TT6jBDaaEJ6wTi8RstShDcB2ttGokRddyQ,120000.0,1,120000.0
TF5zKmVKHftUWEMvMnfw9MKQ2WUAKgBioE,118780.0100000001,179,663.5754748603357
TAxXhSYgQ4hsEpD9qxHwMCtGcWCLzDZTUL,115904.0,4,28976.0
TQbQ2M5whiNAjuA9Xxv8jBdZjHT7xqo2kc,112512.27999999997,25,4500.491199999999
TLAuR7cAKTZAQ5wU7QkN4rjhEFZ4MNhYH8,112500.0,1,112500.0
TL9GZj9MsqBehyPwx5bWpm6iNJpH8CL6Qf,110256.119658,2,55128.059829
TS48PFWgBj1UuWvM23DgTxLQx4Z1DZQMCm,110023.048484,1,110023.048484
TSTJE8jSMtTZbcMBviAJkaEQUF6Hx9kG6g,110000.0,3,36666.666666666664
TQ9iGYqwavns3vpVTTNMBarStLKwV9Eh6A,110000.0,1,110000.0
TBxKN59rfCqZpnVjuHhvfzrnBvBJa9MwR4,110000.0,1,110000.0
TQVYB7ssuV1qVZum3b8Ph4qoms8GHue61A,109210.75663500001,17,6424.162155000001
TSNemsYgb98YarKDRprqRo2CG4cz6mLgvi,108317.0,2,54158.5
TTAffQ6dFMGBbYgrbPZGytf5Z1ZTy2FxnT,105002.0,3,35000.666666666664
