#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
67,TX42iZ53BEWV6pFH7u4CpC6tPN3Y2ZbbJ6,31979919.860555,31986377.19,0.0005,2024-09-17 10:52:36
68,TYgdwWmosphfr37USj9DAq1QvjjWPetruU,31306507.927824,31312829.28,0.0005,2024-08-12 11:14:21
69,TQFS9E84qM2Ps7FCUi29aBgvvCotDfY1aR,30800000.000000,30806219.08,0.0004,2023-12-30 19:14:24
70,T9yYMb2xSAegJw5khdy1xHuWBiZbgu8vCa,30050001.818500,30056069.46,0.0004,2024-09-07 07:31:30
71,TTr2we4YpHSHoZkbgcAKoeHcBWpMNy4kxd,30000800.000000,30006857.71,0.0004,2024-04-06 16:45:06
72,TFFpx5DoMqFkrH1sAxw17uVZuhCN85MAZ1,30000390.708649,30006448.33,0.0004,2023-08-16 22:11:24
73,TXyEekcwacisrnn1h98bXpjGXHFEFz7Lgf,30000072.500000,30006130.06,0.0004,2024-08-03 17:37:00
74,TTEG63CDQDj68k8CHWc9kEmedF5DvYLpk4,30000059.397972,30006116.96,0.0004,2024-07-26 19:57:09
75,TKdRPA1geyM7UBc4MrbyUP1EzZxeFTtTek,30000009.000000,30006066.55,0.0004,2024-05-29 07:41:21
76,TSn9M4thj4nZ45M4WkGDa2nqXVeQQujJm6,30000000.466205,30006058.01,0.0004,2023-10-28 08:47:57
77,TLs2pP4QyUocFkVqKGgJ4eTWfdr91rYERF,30000000.000000,30006057.55,0.0004,2023-11-20 12:21:42
78,THK8shATwr5zTGz67zvS17PefCxstMK8vr,30000000.000000,30006057.55,0.0004,2024-08-14 09:17:27
79,TNVaKWQzau7xL9bcnvLmF9KSEQkWEs4Ug8,29620333.024481,29626313.91,0.0004,2024-07-16 09:15:18
80,TG5WoBnJw8YCRhBDpboABUzK9ENUkxCy3x,29000000.020001,29005855.65,0.0004,2024-08-30 04:18:09
81,TTyjFf7xwLwA6fMwrtBBWTmufZztEj1Fbh,29000000.000000,29005855.63,0.0004,2024-05-12 07:51:12
82,TCYpJ6MMzd9ytoUvD82HnS58iV75QimPh6,28363011.607880,28368738.62,0.0004,2022-11-21 07:03:33
83,TAAS259FAUGTpZe4MW951ojMHBMzf8qDpG,26888047.724821,26893476.91,0.0004,2024-03-29 10:35:30
84,TDcqTm2HcVhDKHVovoDm994Q2QWPFXT3DK,26883647.925195,26889076.22,0.0004,2023-11-17 13:27:39
85,TQ3yqNwoY4uVUL7D5eE7ph2ZCYExqs2qVw,26037489.802023,26042747.24,0.0004,2024-09-10 08:51:33
